eci,S_ENBID,S_CELLID,S_PCI,S_EARFCN,scTotal,NcTotal,AdjLT-10db,Adj-10db,Adj-9db,Adj-8db,Adj-7db,Adj-6db,Adj-5db,Adj-4db,Adj-3db,Adj-2db,Adj-1db,Adj0db,Adj1db,Adj2db,Adj3db,Adj4db,Adj5db,Adj6db,AdjGT6db,GE-10,GE-6,TotalNei,NeiGE-10,NeiGE-6,AdjTotal,Adj-10db,Adj-6db,overlap6db,overshoot6db,avg_adj_report_times,dbmtotal,dbmavg,overlap1_num,overlap1_rate,overlap2_num,overlap2_rate,overlap3_num,overlap3_rate,overlap4_num,overlap4_rate,overlap5_num,overlap5_rate,overlap6_num,overlap6_rate,overlap7_num,overlap7_rate,overlap8_num,overlap8_rate,cmccoverlap_num,cmccoverlap_rate,500M,1000M,1500M,AVG-Distance,SinrUL
175159811_H01,684218,3,472,38400,1278,1082,150,30,42,68,75,104,206,138,129,54,43,17,11,7,3,1,1,2,1,932,717,36,26,19,425,333,213,66,50,0.8,50867,-100,358,0.280125195618153,218,0.170579029733959,115,0.0899843505477308,17,0.013302034428795,5,0.00391236306729264,4,0.00312989045383412,0,0,0,0,43,0.0336463223787167,0.609546165884194,0.388888888888889,0.00156494522691706,612,34.4115805946792
175159811_H02,684218,3,472,38400,1254,981,107,33,53,73,85,116,185,131,60,49,41,22,12,4,5,0,0,2,3,874,630,36,33,28,262,216,159,64,61,0.7,49359,-101,329,0.262360446570973,180,0.143540669856459,107,0.0853269537480064,13,0.0103668261562998,1,0.000797448165869219,0,0,0,0,0,0,25,0.0199362041467305,0.529505582137161,0.467304625199362,0.00318979266347687,658,34
175159811_H03,684218,3,472,38400,864,557,57,20,28,33,70,117,126,66,19,6,4,2,5,2,1,0,0,1,0,500,349,20,20,17,222,178,110,63,50,0.6,34840,-100,201,0.232638888888889,93,0.107638888888889,54,0.0625,1,0.00115740740740741,0,0,0,0,0,0,0,0,0,0,0.616898148148148,0.383101851851852,0,607,34.2546296296296
175159811_H04,684218,3,472,38400,813,562,63,20,24,39,62,129,137,47,18,9,6,1,0,0,4,2,0,0,1,499,354,18,16,14,198,150,82,63,41,0.6,33176,-99,224,0.275522755227552,93,0.114391143911439,37,0.045510455104551,0,0,0,0,0,0,0,0,0,0,0,0,0.645756457564576,0.354243542435424,0,578,34.3468634686347
175159811_H05,684218,3,472,38400,1015,793,119,56,53,64,83,151,117,73,45,12,9,5,2,3,1,0,0,0,0,674,418,30,27,18,244,189,106,53,43,0.7,39219,-101,245,0.241379310344828,117,0.115270935960591,55,0.0541871921182266,1,0.000985221674876847,0,0,0,0,0,0,0,0,0,0,0.662068965517241,0.337931034482759,0,572,33.8098522167488
175159811_H06,684218,3,472,38400,1057,621,124,30,32,49,50,60,76,70,61,24,14,8,12,5,2,2,1,0,1,497,336,34,28,20,314,184,100,54,32,0.5,44191,-98,209,0.197729422894986,97,0.0917691579943236,28,0.0264900662251656,1,0.000946073793755913,1,0.000946073793755913,0,0,0,0,0,0,1,0.000946073793755913,0.74077578051088,0.252601702932829,0.00662251655629139,484,34.9035004730369
175159811_H07,684218,3,472,38400,1426,705,134,40,53,64,59,67,53,61,56,37,26,22,20,4,4,2,1,0,2,571,355,38,33,27,324,172,96,50,30,0.4,60024,-98,258,0.180925666199158,79,0.0553997194950912,14,0.00981767180925666,4,0.00280504908835905,0,0,0,0,0,0,0,0,3,0.00210378681626928,0.739130434782609,0.255960729312763,0.00490883590462833,472,35.2826086956522
175159811_H08,684218,3,472,38400,1440,932,218,52,55,74,76,83,84,63,77,46,34,21,17,8,11,7,3,2,1,714,457,36,29,23,473,276,159,49,34,0.6,61441,-97,303,0.210416666666667,110,0.0763888888888889,34,0.0236111111111111,8,0.00555555555555556,1,0.000694444444444444,1,0.000694444444444444,0,0,0,0,15,0.0104166666666667,0.672916666666667,0.318055555555556,0.00902777777777778,555,35.4222222222222
175159811_H09,684218,3,472,38400,1044,846,154,30,51,41,49,64,75,82,91,72,47,31,26,13,12,3,2,1,2,692,521,34,28,24,460,269,167,62,36,0.8,41037,-101,408,0.390804597701149,89,0.0852490421455939,21,0.0201149425287356,3,0.0028735632183908,0,0,0,0,0,0,0,0,8,0.00766283524904215,0.616858237547893,0.359195402298851,0.0239463601532567,602,35.1704980842912
175159811_H10,684218,3,472,38400,1253,879,201,52,47,65,62,73,69,62,49,56,60,45,22,4,6,2,3,0,1,678,452,40,25,18,650,476,345,51,53,0.7,49464,-101,371,0.29608938547486,70,0.0558659217877095,8,0.00638467677573823,2,0.00159616919393456,1,0.000798084596967279,0,0,0,0,0,0,3,0.00239425379090184,0.780526735833998,0.209098164405427,0.0103750997605746,426,35.1612130885874
